uid,airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment,airports-extended-geo-uk-only-join_country,airports-extended-geo-uk-only-join_type,layer,path,dest-airports_name,dest-airports_city,dest-airports_country,dest-airports_lat,dest-airports_long,dest-airports_type,src-airports_name,src-airports_city,src-airports_country,src-airports_lat,src-airports_long,src-airports_type
1514,4U,"2548",MAN,"478",HAM,"342",,0,CRJ,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,airport,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582,airport
1530,4U,"2548",NQY,"481",DUS,"345",,0,CRJ,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,airport,Newquay Cornwall Airport,Newquai,United Kingdom,50.440601348877,-4.99540996551514,airport
1586,4U,"2548",STN,"548",CGN,"344",,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728,airport,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404,airport
1587,4U,"2548",STN,"548",HAJ,"352",,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Hannover Airport,Hannover,Germany,52.461101532,9.68507957458,airport,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404,airport
1588,4U,"2548",STN,"548",STR,"350",,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775,airport,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404,airport
3904,9U,"1073",STN,"548",KIV,"1735",,0,E90 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Chişinău International Airport,Chisinau,Moldova,46.9277000427246,28.9309997558594,airport,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404,airport
4174,9W,"3000",LHR,"507",BOM,"2997",,0,77W,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
4175,9W,"3000",LHR,"507",DEL,"3093",,0,77W,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
4396,A3,"96",LHR,"507",ATH,"3941",,0,321 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Eleftherios Venizelos International Airport,Athens,Greece,37.9364013672,23.9444999695,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
4403,A3,"96",MAN,"478",ATH,"3941",,0,"320",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Eleftherios Venizelos International Airport,Athens,Greece,37.9364013672,23.9444999695,airport,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582,airport
