uid,equipment,source_name,source_city,source_country,source_lat,source_long
5854,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5855,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5856,77W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5857,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5858,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5859,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5860,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5861,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5862,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5863,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5864,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5865,77W 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5866,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5867,320 321 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5868,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5869,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5870,320 321 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5871,321 320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5872,763 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5873,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5874,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5875,333,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5876,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5877,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5878,320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5879,763,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5880,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5881,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5882,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5883,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5884,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5885,319 321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5886,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5887,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5888,320 321 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5889,320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5890,320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5891,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5892,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5893,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5894,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5895,787 744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5896,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5897,320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5936,E70,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5937,757,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5938,319 320 321,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5939,763,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5940,332,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
6176,319 321 320,Newcastle Airport,Newcastle,United Kingdom,55.0374984741211,-1.69166994094849
7380,E70 E90 AR8,London City Airport,London,United Kingdom,51.505299,0.055278
7381,E90 E70,London City Airport,London,United Kingdom,51.505299,0.055278
7393,734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
7394,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7395,767 319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7396,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7397,319 321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7398,320 321 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7399,320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7400,319 321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7401,320 321 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7402,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7403,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7615,DH4,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
7962,763,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7963,763,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7964,763,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7965,77W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7966,77W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7967,333,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7968,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7969,77L 763 77W 333,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
8976,E70,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512
9197,319 320,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
9198,E75,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
9454,F50,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9455,F50,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9456,F50,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9457,F50,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9495,AR8,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
9496,F50,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
9506,DH4,Exeter International Airport,Exeter,United Kingdom,50.7344017028809,-3.41388988494873
9507,DH4,Exeter International Airport,Exeter,United Kingdom,50.7344017028809,-3.41388988494873
9508,DH4,Exeter International Airport,Exeter,United Kingdom,50.7344017028809,-3.41388988494873
9545,F50,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
9629,AR8,London City Airport,London,United Kingdom,51.505299,0.055278
9630,F50,London City Airport,London,United Kingdom,51.505299,0.055278
9631,F50,London City Airport,London,United Kingdom,51.505299,0.055278
9632,AR8,London City Airport,London,United Kingdom,51.505299,0.055278
9633,F50,London City Airport,London,United Kingdom,51.505299,0.055278
9634,AR8,London City Airport,London,United Kingdom,51.505299,0.055278
9635,AR8,London City Airport,London,United Kingdom,51.505299,0.055278
9636,E90,London City Airport,London,United Kingdom,51.505299,0.055278
9637,AR8,London City Airport,London,United Kingdom,51.505299,0.055278
9638,E90,London City Airport,London,United Kingdom,51.505299,0.055278
9639,AR8 F50,London City Airport,London,United Kingdom,51.505299,0.055278
9640,F50,London City Airport,London,United Kingdom,51.505299,0.055278
9641,F50 AR8,London City Airport,London,United Kingdom,51.505299,0.055278
9649,764 77L 76W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9650,764,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9651,321 320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9652,76W 77L,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9653,76W 764,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9654,764,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9655,76W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9704,76W,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
9705,321 320,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
9706,E75 DH4,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
9809,AR8,Newcastle Airport,Newcastle,United Kingdom,55.0374984741211,-1.69166994094849
9957,DH4,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
9958,DH4,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
9959,DH4,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
9960,DH4,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
9961,E95,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
9962,DH4,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
9963,DH4,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
9964,DH4,Southampton Airport,Southampton,United Kingdom,50.9502983093262,-1.35679996013641
