uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long
5848,744 777,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292
5849,744 777,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955322,-95.3414001464844
5850,767 320,Atatürk International Airport,Istanbul,Turkey,40.976898,28.8146
5851,77W 777,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015
5852,380 744,OR Tambo International Airport,Johannesburg,South Africa,-26.1392,28.246
5853,380,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,2.745579957962,101.70999908447
5854,744,Kuwait International Airport,Kuwait,Kuwait,29.2266006469727,47.9688987731934
5855,744,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004
5856,77W,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971
5857,319,Leeds Bradford Airport,Leeds,United Kingdom,53.8658981323242,-1.66057002544403
5858,767,Larnaca International Airport,Larnaca,Cyprus,34.8750991821289,33.6249008178711
5859,319 320 321,Milano Linate Airport,Milan,Italy,45.445099,9.27674
5860,320,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,38.7813,-9.13592
5861,319,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233333,6.2044444
5862,319,Lyon Saint-Exupéry Airport,Lyon,France,45.725556,5.081111
5863,777,Chennai International Airport,Madras,India,12.9900054931641,80.1692962646484
5864,319 320 321,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5865,77W 777,Miami International Airport,Miami,United States,25.7931995391846,-80.2906036376953
5866,319 320,Marseille Provence Airport,Marseille,France,43.439271922,5.22142410278
5867,320 321 319,Munich Airport,Munich,Germany,48.353802,11.7861
5868,319 320 321,Malpensa International Airport,Milano,Italy,45.6306,8.72811
5869,744,Jomo Kenyatta International Airport,Nairobi,Kenya,-1.31923997402,36.9277992249
5870,320 321 319,Nice-Côte d'Azur Airport,Nice,France,43.6584014893,7.21586990356
5871,321 320 319,Newcastle Airport,Newcastle,United Kingdom,55.0374984741211,-1.69166994094849
5872,763 777,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048
5873,319 320 321,Oslo Lufthavn,Oslo,Norway,60.121,11.0502
5874,320,Henri Coandă International Airport,Bucharest,Romania,44.5711111,26.085
5875,333,Philadelphia International Airport,Philadelphia,United States,39.871898651123,-75.241096496582
5876,744,Phoenix Sky Harbor International Airport,Phoenix,United States,33.4342994689941,-112.012001037598
5877,320,Václav Havel Airport Prague,Prague,Czech Republic,50.1008,14.26
5878,320 321,Pisa International Airport,Pisa,Italy,43.683899,10.3927
5879,763,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235352,-78.7874984741211
