uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long,source_name,source_city,source_country,source_lat,source_long
5813,"777",Bahrain International Airport,Bahrain,Bahrain,26.2707996368408,50.6335983276367,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5814,319 320 321 767,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5815,"319",Bergen Airport Flesland,Bergen,Norway,60.29339981,5.218140125,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5816,"319",George Best Belfast City Airport,Belfast,United Kingdom,54.6180992126465,-5.87249994277954,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5817,320 319,Bologna Guglielmo Marconi Airport,Bologna,Italy,44.5354,11.2887,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5818,"777",Kempegowda International Airport,Bangalore,India,13.1979,77.706299,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5819,"777",Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5820,744 777,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5821,320 319 321,Brussels Airport,Brussels,Belgium,50.9014015198,4.48443984985,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5822,319 321,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,47.59,7.5291667,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5823,"320",Budapest Liszt Ferenc International Airport,Budapest,Hungary,47.42976,19.261093,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5824,"767",Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5825,320 319 321,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5826,"333",Charlotte Douglas International Airport,Charlotte,United States,35.2140007019043,-80.9430999755859,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5827,321 320 319,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.617900848389,12.656000137329,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5828,744 777,Cape Town International Airport,Cape Town,South Africa,-33.9648017883,18.6016998291,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5829,"777",Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5830,"777",Denver International Airport,Denver,United States,39.861698150635,-104.672996521,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5831,77W 777,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5832,"319",Dublin Airport,Dublin,Ireland,53.421299,-6.27007,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5833,319 320,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5834,744 777,Dubai International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5835,"767",Entebbe International Airport,Entebbe,Uganda,0.042386,32.443501,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5836,767 321 320 319,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5837,777 787,Newark Liberty International Airport,Newark,United States,40.6925010681152,-74.168701171875,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5838,321 320 319,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,41.8002778,12.2388889,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5839,319 320,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5840,"320",Gibraltar Airport,Gibraltar,Gibraltar,36.1511993408,-5.34965991974,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5841,319 320 321 767,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5842,320 321 319,Gothenburg-Landvetter Airport,Gothenborg,Sweden,57.662799835205,12.279800415039,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5843,319 320 321,Geneva Cointrin International Airport,Geneva,Switzerland,46.2380981445312,6.10895013809204,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
